date	note	hours
2018-02-15	POL2508/MT, studying	1.5
2018-02-15	Courses	2.5
2018-02-15	HIS3108/P, writing	2.5
2018-02-14	Courses	3
2018-02-14	POL2103/P, writing	2.5
2018-02-14	POL2508/MT, studying	2.5
2018-02-14	HIS3108, reading	0.5
2018-02-13	Courses	3
2018-02-13	POL2103/P, writing	1
2018-02-13	POL2508/MT, studying	2
2018-02-12	HIS2326/MT, studying	1
2018-02-12	Courses	4.5
2018-02-12	POL2103/P, writing	1
2018-02-12	POL2508/MT, studying	0.5
2018-02-11	HIS2326/MT, studying	4
2018-02-11	POL2103/P, outlining	1
2018-02-11	POL2508/MT, studying	2
2018-02-10	HIS2326/MT, studying	1
2018-02-10	HIS3108/P, researching	1.5
2018-02-10	POL2508/MT, studying	1.5
2018-02-10	HIS2326/MT, studying	0.5
2018-02-09	Courses	1
2018-02-09	UO/CO, interviewing	1.5
2018-02-09	POL2103/P, researching	0.5
2018-02-09	HIS2326/MT, studying	1
2018-02-08	HIS2326/MT, studying	2
2018-02-08	POL2103/P, researching	0.5
2018-02-08	UO/CO, researching	1
2018-02-08	Courses	3
2018-02-07	Courses	3
2018-02-07	UO/CO, interviewing	1
2018-02-07	HIS3108, reading	0.5
2018-02-07	UO/CO, researching	1.5
2018-02-07	HIS2326/MT, studying	0.5
2018-02-06	UO/CO, interviewing	1.5
2018-02-06	Courses	1.5
2018-02-06	HIS3108, reading	0.5
2018-02-06	HIS2326/MT, studying	0.5
2018-02-06	UO/CO, researching	1
2018-02-05	UO/CO, interviewing	0.75
2018-02-05	HIS2326/MT, studying	0.75
2018-02-05	Courses	5.5
2018-02-05	FLS2771/Q, studying	0.5
2018-02-05	UO/CO, researching	1.5
2018-02-04	UO/CO, researching	1.5
2018-02-04	UO/CO, career chat	3
2018-02-04	POL2103/Q, studying	0.5
2018-02-03	HIS2326/RP, researching	1
2018-02-03	HIS2326/MT, studying	0.5
2018-02-03	POL2103/Q, studying	0.5
2018-02-03	HIS3108/P, researching	2
2018-02-02	POL2103/Q, studying	0.5
2018-02-02	Courses	3
2018-02-02	UO/CO, interviewing	1.5
2018-02-02	HIS2326/MT, studying	1
2018-02-02	POL2508/MT, preparing	0.5
2018-02-02	POL2103/P, researching	1
